region,sub_region,age_group,party,votes,turnout,total_voters
서울,전체,20대,더불어민주당,1245000,77.1,3200000
서울,전체,20대,국민의힘,980000,77.1,3200000
서울,전체,30대,더불어민주당,1100000,75.3,2900000
서울,전체,30대,국민의힘,1050000,75.3,2900000
서울,전체,50대,더불어민주당,890000,82.1,2700000
서울,전체,50대,국민의힘,1320000,82.1,2700000
서울,전체,60대+,더불어민주당,650000,80.5,2500000
서울,전체,60대+,국민의힘,1580000,80.5,2500000
경기,전체,20대,더불어민주당,1500000,74.8,4100000
경기,전체,20대,국민의힘,1180000,74.8,4100000
경기,전체,50대,더불어민주당,1020000,80.2,3500000
경기,전체,50대,국민의힘,1450000,80.2,3500000
